,Label,Count_Los_Angeles,Count_Lima
0,Rectangle,129.0,6.0
1,Font,120.0,4.0
2,Brand,120.0,
3,Wheel,127.0,65.0
4,Tire,121.0,66.0
5,Car,154.0,75.0
6,Automotive parking light,59.0,36.0
7,Vehicle,153.0,81.0
8,Land vehicle,51.0,25.0
9,Automotive side marker light,3.0,
10,Sky,301.0,221.0
11,Plant,250.0,112.0
12,Building,145.0,201.0
13,Automotive lighting,41.0,8.0
14,Motor vehicle,63.0,33.0
15,Vehicle registration plate,9.0,12.0
16,Tree,191.0,53.0
17,Asphalt,188.0,131.0
18,Road surface,199.0,134.0
19,Water,3.0,1.0
20,Natural landscape,21.0,1.0
21,Lake,2.0,
22,Coastal and oceanic landforms,2.0,1.0
23,Bank,1.0,
24,Mountain,6.0,7.0
25,Beach,1.0,
26,Landscape,42.0,38.0
27,Horizon,6.0,7.0
28,Cloud,117.0,85.0
29,Urban design,64.0,107.0
30,Grass,42.0,20.0
31,Plant community,8.0,1.0
32,Shade,52.0,24.0
33,Branch,10.0,
34,Land lot,96.0,65.0
35,Sunlight,7.0,
36,Snow,1.0,
37,Slope,14.0,17.0
38,Bedrock,3.0,2.0
39,Freezing,1.0,
40,Terrain,1.0,3.0
41,House,46.0,42.0
42,Automotive tire,51.0,9.0
43,Automotive exterior,2.0,1.0
44,Tar,14.0,4.0
45,Electricity,23.0,25.0
46,Residential area,22.0,67.0
47,Street light,35.0,26.0
48,Wood,14.0,37.0
49,Split-rail fence,1.0,
50,Thoroughfare,23.0,9.0
51,Overhead power line,21.0,15.0
52,Floor,3.0,5.0
53,Flooring,3.0,5.0
54,Brickwork,1.0,6.0
55,Brick,2.0,10.0
56,Infrastructure,8.0,10.0
57,Sidewalk,8.0,10.0
58,Automotive tail & brake light,17.0,3.0
59,Waste container,9.0,
60,City,8.0,23.0
61,Window,68.0,137.0
62,Hood,19.0,2.0
63,Property,19.0,43.0
64,Composite material,10.0,40.0
65,Tints and shades,16.0,16.0
66,Road,12.0,28.0
67,Public utility,1.0,1.0
68,Blue,2.0,1.0
69,Arecales,10.0,4.0
70,Woody plant,7.0,2.0
71,Real estate,2.0,21.0
72,Astronomical object,1.0,
73,Formation,3.0,1.0
74,Daytime,5.0,3.0
75,Automotive design,11.0,11.0
76,Hedge,1.0,
77,Evergreen,2.0,2.0
78,Groundcover,5.0,5.0
79,Shrub,9.0,3.0
80,Fence,11.0,5.0
81,Wire fencing,2.0,3.0
82,Grille,2.0,
83,Gas,9.0,23.0
84,Facade,8.0,51.0
85,Roof,1.0,4.0
86,Twig,5.0,
87,Neighbourhood,10.0,48.0
88,Fixture,5.0,30.0
89,Rural area,2.0,4.0
90,Outdoor furniture,1.0,
91,Outdoor table,1.0,
92,Mode of transport,3.0,6.0
93,Plaster,1.0,
94,Concrete,1.0,8.0
95,Garage door,1.0,
96,Truck,2.0,
97,Trunk,3.0,1.0
98,Highland,2.0,
99,Vegetation,4.0,1.0
100,Waste containment,5.0,
101,Condominium,3.0,10.0
102,Ecoregion,3.0,2.0
103,Mesh,1.0,1.0
104,Plain,3.0,2.0
105,Automotive side-view mirror,1.0,1.0
106,Line,1.0,1.0
107,Terrestrial plant,2.0,2.0
108,Grassland,3.0,
109,Forest,1.0,
110,Geological phenomenon,1.0,4.0
111,Cottage,1.0,
112,Van,1.0,1.0
113,Compact van,1.0,1.0
114,Rolling,2.0,3.0
115,Shipping container,1.0,
116,Track,1.0,
117,Outcrop,1.0,1.0
118,Leaf,3.0,
119,Flower,3.0,4.0
120,Symmetry,1.0,
121,Ceiling,2.0,2.0
122,Parking,1.0,
123,Flowering plant,1.0,1.0
124,Fruit tree,1.0,
125,Light,1.0,
126,Nature,1.0,1.0
127,Zebra crossing,1.0,
128,Furniture,1.0,2.0
129,Table,1.0,1.0
130,Chair,1.0,2.0
131,Desk,1.0,
132,Space,1.0,2.0
133,Room,1.0,1.0
134,Retail,1.0,
135,Commercial building,1.0,4.0
136,Mixed-use,1.0,
137,Travel,1.0,
138,Leisure,1.0,
139,Wall,,9.0
140,Door,,14.0
141,Midnight,,1.0
142,Electric blue,,1.0
143,Pattern,,1.0
144,Art,,6.0
145,Subshrub,,1.0
146,Architecture,,7.0
147,Engineering,,1.0
148,Building material,,3.0
149,Bicycle,,2.0
150,Bicycle tire,,2.0
151,Bicycle wheel,,1.0
152,Alloy wheel,,1.0
153,Light commercial vehicle,,1.0
154,Tower block,,1.0
155,Palm tree,,1.0
156,Tile flooring,,1.0
157,Hardwood,,1.0
158,Sport venue,,1.0
159,Metal,,1.0
160,Flowerpot,,1.0
161,Glass,,1.0
162,Handrail,,1.0
163,Paint,,1.0
164,Azure,,1.0
165,Soil,,2.0
166,Outdoor bench,,1.0
167,Mountain range,,1.0
168,Hill,,3.0
169,Flag,,1.0
170,Graffiti,,2.0
171,Signage,,1.0
172,Hill station,,1.0
173,Dog,,1.0
174,Lawn,,1.0
175,Skyscraper,,1.0
176,Darkness,,1.0
177,Tunnel,,1.0
178,Mountainous landforms,,1.0
179,Atmospheric phenomenon,,1.0
180,Event,,2.0
181,Valley,,1.0
182,Decoration,,1.0
183,Public space,,1.0
184,Folding chair,,1.0
185,Hall,,1.0
